                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8055,                 1.8949,                  1.461,                 0.6121,                0.54781,                0.55966,                0.25764,                 1.7598,                 1.6233,                 1.3357,             0.00047485,             0.00047485,             0.00047485
                      2,                 1.6165,                 1.3368,                 1.3491,                0.67868,                0.59741,                0.65006,                0.33126,                 1.6167,                  1.348,                 1.3512,             0.00092765,             0.00092765,             0.00092765
                      3,                 1.5844,                 1.2263,                 1.3426,                0.70994,                0.63159,                0.65871,                0.33145,                 1.6364,                 1.2993,                 1.3481,              0.0013569,              0.0013569,              0.0013569
                      4,                 1.5585,                 1.1548,                 1.3192,                0.83976,                0.64657,                0.71835,                0.38046,                 1.5486,                 1.0404,                 1.2762,              0.0013229,              0.0013229,              0.0013229
                      5,                 1.5403,                 1.1265,                  1.313,                0.79641,                 0.7072,                0.74689,                0.38694,                 1.5871,                 1.0669,                 1.3094,              0.0012875,              0.0012875,              0.0012875
                      6,                 1.5117,                 1.0605,                 1.2908,                0.71903,                0.71547,                0.74407,                0.37506,                 1.6195,                 1.0438,                 1.3528,              0.0012522,              0.0012522,              0.0012522
                      7,                 1.4952,                 1.0345,                 1.2841,                0.79957,                0.66086,                0.71479,                0.38448,                 1.5492,                 0.9679,                 1.2867,              0.0012168,              0.0012168,              0.0012168
                      8,                 1.4556,                0.98643,                  1.255,                0.79028,                0.66772,                0.76791,                0.36926,                 1.5489,                 1.0614,                 1.2725,              0.0011814,              0.0011814,              0.0011814
                      9,                 1.4327,                0.95701,                 1.2479,                0.81111,                0.75248,                 0.7921,                0.43714,                 1.4816,                0.84962,                  1.232,              0.0011461,              0.0011461,              0.0011461
                     10,                 1.4196,                0.91912,                 1.2379,                0.80615,                0.78529,                0.78168,                0.44151,                 1.4654,                0.84659,                 1.2248,              0.0011107,              0.0011107,              0.0011107
                     11,                 1.4195,                0.91562,                  1.232,                0.75429,                0.76215,                0.79035,                0.39996,                 1.5438,                 0.9362,                 1.2506,              0.0010753,              0.0010753,              0.0010753
                     12,                 1.3986,                0.89309,                  1.225,                0.82437,                0.78546,                0.81095,                0.44923,                 1.4945,                0.81536,                  1.219,                0.00104,                0.00104,                0.00104
                     13,                 1.3815,                0.86396,                 1.2112,                0.75364,                0.80435,                0.79107,                0.44508,                 1.4146,                 0.8092,                 1.1939,              0.0010046,              0.0010046,              0.0010046
                     14,                 1.3745,                0.84901,                 1.2099,                 0.7885,                0.76871,                0.80789,                0.44102,                 1.3965,                0.81092,                  1.194,             0.00096922,             0.00096922,             0.00096922
                     15,                 1.3591,                0.82999,                 1.2021,                 0.7962,                0.77679,                0.81535,                0.42863,                 1.4989,                0.83542,                 1.2243,             0.00093385,             0.00093385,             0.00093385
                     16,                 1.3655,                0.82644,                 1.2011,                0.82074,                0.76266,                 0.7861,                0.40766,                  1.703,                0.94914,                 1.3035,             0.00089848,             0.00089848,             0.00089848
                     17,                 1.3355,                0.80334,                 1.1856,                0.84782,                0.78645,                0.83352,                0.48019,                 1.3927,                0.76393,                 1.1913,             0.00086312,             0.00086312,             0.00086312
                     18,                 1.3198,                0.78527,                 1.1828,                0.82998,                0.77477,                0.80923,                0.46074,                 1.4618,                0.74628,                 1.2081,             0.00082775,             0.00082775,             0.00082775
                     19,                 1.3125,                 0.7772,                 1.1766,                0.82685,                0.75234,                0.80995,                0.43954,                 1.5643,                0.85908,                 1.2348,             0.00079238,             0.00079238,             0.00079238
                     20,                 1.3039,                0.75893,                 1.1697,                0.84148,                 0.7775,                0.82934,                0.48312,                   1.43,                0.75028,                 1.2116,             0.00075701,             0.00075701,             0.00075701
                     21,                 1.2872,                0.74829,                  1.163,                0.81713,                0.80105,                0.81987,                0.46821,                 1.3982,                0.73746,                 1.1929,             0.00072164,             0.00072164,             0.00072164
                     22,                 1.2826,                0.74191,                 1.1567,                0.80998,                0.78145,                0.81398,                  0.474,                 1.3942,                0.74298,                 1.1873,             0.00068628,             0.00068628,             0.00068628
                     23,                 1.2714,                0.72566,                 1.1489,                0.85297,                0.77743,                 0.8321,                0.48606,                  1.382,                0.72338,                 1.1742,             0.00065091,             0.00065091,             0.00065091
                     24,                 1.2545,                 0.7149,                 1.1436,                0.84339,                0.81767,                0.84221,                0.49355,                 1.3735,                0.70501,                 1.1797,             0.00061554,             0.00061554,             0.00061554
                     25,                 1.2542,                0.71347,                 1.1441,                0.87541,                0.81382,                0.85118,                 0.4988,                 1.3869,                0.70844,                 1.1837,             0.00058017,             0.00058017,             0.00058017
                     26,                  1.238,                0.70266,                 1.1404,                0.85209,                  0.808,                0.84637,                0.48513,                 1.4211,                0.73081,                 1.1816,             0.00054481,             0.00054481,             0.00054481
                     27,                 1.2376,                0.69653,                 1.1375,                0.88293,                0.79505,                0.84472,                0.50888,                 1.3376,                0.69098,                 1.1636,             0.00050944,             0.00050944,             0.00050944
                     28,                 1.2198,                0.69077,                 1.1299,                0.85998,                 0.8113,                0.85466,                0.51018,                 1.3429,                0.68301,                 1.1587,             0.00047407,             0.00047407,             0.00047407
                     29,                  1.216,                0.68223,                 1.1253,                 0.8721,                0.80674,                0.84973,                0.50576,                 1.3515,                0.67191,                 1.1567,              0.0004387,              0.0004387,              0.0004387
                     30,                 1.2098,                0.67552,                 1.1226,                0.86993,                0.79769,                0.83825,                0.49859,                 1.3678,                0.68547,                 1.1682,             0.00040334,             0.00040334,             0.00040334
                     31,                 1.1744,                0.59533,                 1.1164,                0.81118,                0.82135,                0.84478,                0.50264,                 1.3219,                0.66724,                 1.1532,             0.00036797,             0.00036797,             0.00036797
                     32,                 1.1463,                0.57994,                 1.1055,                0.84881,                0.80058,                0.83898,                0.49783,                  1.347,                0.68593,                   1.17,              0.0003326,              0.0003326,              0.0003326
                     33,                 1.1229,                0.56691,                  1.096,                0.86708,                 0.8139,                0.86584,                0.51327,                 1.3344,                0.66436,                 1.1545,             0.00029723,             0.00029723,             0.00029723
                     34,                 1.1203,                0.56213,                 1.0898,                0.80094,                0.83361,                0.86161,                0.52148,                 1.3274,                 0.6521,                 1.1528,             0.00026186,             0.00026186,             0.00026186
                     35,                 1.1002,                0.55024,                 1.0816,                0.89537,                0.79611,                0.85183,                0.51478,                  1.328,                0.64982,                 1.1525,              0.0002265,              0.0002265,              0.0002265
                     36,                 1.0843,                0.54675,                 1.0751,                 0.8664,                0.82134,                0.86372,                0.51524,                 1.3332,                0.65689,                 1.1607,             0.00019113,             0.00019113,             0.00019113
                     37,                 1.0735,                 0.5376,                 1.0697,                0.83928,                0.82553,                0.85665,                0.51201,                 1.3275,                0.64989,                 1.1564,             0.00015576,             0.00015576,             0.00015576
                     38,                 1.0566,                0.53142,                 1.0608,                0.86636,                0.81173,                0.86218,                0.51716,                 1.3308,                0.64686,                 1.1605,             0.00012039,             0.00012039,             0.00012039
                     39,                 1.0462,                0.52488,                 1.0568,                 0.8903,                0.79803,                0.85985,                0.51482,                 1.3321,                0.64809,                 1.1576,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     40,                 1.0398,                0.52032,                 1.0534,                 0.9101,                0.79229,                0.86055,                0.51512,                 1.3363,                0.64941,                 1.1597,             4.9658e-05,             4.9658e-05,             4.9658e-05
